job title,company name,date,location,skills
Digital Marketing Manager,Bukhamseen Investment CO -,10 days ago,"Al Mubarraz, Saudi Arabia ",Full TimeSenior Management · 3 - 18 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Digital · Digital Marketing · E-Marketing · Marketing · media · Social Media · English · Creative
Digital Marketing Specialist,SANA SOFT -,10 days ago,"Alexandria, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · B2B Marketing · Digital Marketing · Marketing · Content Creation · Social Media · Graphic Design · Events Coordination · Media Buying
Digital Marketing Specialist,Refilex -,11 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Marketing/PR/Advertising · Digital · Digital Marketing · Digital Marketing Specialist · marketing specialist · Marketing · E-Marketing · Social Media · specialist
Digital Marketing Rep. in Alexandria,Ascon Advanced Solutions & Consultant -,11 days ago,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · E-marketing · Market Research · Social Media · Media · Digital Marketing
Digital Marketing Account Manager,Verdura Consulting -,10 days ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Agency · Mass Communication · Digital Marketing · Communication · Social Media · Digital · English · Marketing
Digital Marketing Specialist,Confidential -,10 days ago,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Digital Marketing · Social Media · media · Advertising · E-Marketing · Digital
Senior Digital Marketing Specialist,"Nile Bits, LLC -",4 days ago,"6th of October, Giza, Egypt ",Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · E-Marketing · SEO · Marketing · Digital Marketing · Advertising · Communication · Digital · English · Social Media
Senior Digital Marketing Executive,Confidential -,3 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · SEO · Social Media · Digital Marketing · E-marketing · SEM · B2C · Online Marketing
Senior Social Media & Digital Marketing Specialist,Maxevia Corporate -,5 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · SEO · Marketing · E-marketing · Market Research · Social Media · Media · Communication Skills · Computer Skills
Digital Marketing Specialist,Giza Cable Industries -,3 days ago,"Giza, Giza, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing
Digital Marketing Manager,Outservingplus -,4 days ago,"Maadi, Cairo, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Marketing · E-Marketing · Social Media · Medical · NET
Digital Marketing Executive,Confidential -,6 days ago,"Tanta, Gharbia, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · Marketing · Digital · Social Media · E-Marketing · facebook · social · media · communications
Digital Marketing & Sales Associate (For Mothers),Booktips -,4 days ago,"Nasr City, Cairo, Egypt ",Work From HomeEntry Level · 1+ Yrs of Exp · females_only · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Sales Skills · Digital Marketing · English · Sales · Marketing · Sales Target · Communication Skills
Digital Marketing Specialist,ITCan -,6 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · campaigns · Communication · Digital Marketing · E-Commerce · Digital · English · Marketing · SEM
Digital Marketing Specialist,Confidential -,7 days ago,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · English · Communication skills · Digital Marketing · Marketing · E-Marketing
Digital Marketing Manager,ComeX Engineering Company -,12 days ago,"6th of October, Giza, Egypt ",Full TimeManager · 10+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · Google Adwords · Marketing · SEO · Social Media · Advertising
Digital Marketing Executive,yes spaces -,9 days ago,"New Cairo, Cairo, Egypt ",Full TimeShift BasedEntry Level · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Digital · Digital Marketing · E-Marketing · Social Media · Marketing · Marketing executive
Digital Marketing Assistant,Confidential -,13 days ago,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Digital Marketing · E-Marketing · Social Media
Senior Digital Marketing Specialist,Kabnoury and Orman Group -,14 days ago,"Giza, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · Digital Marketing Specialist · Marketing · Social Media
Senior Digital Marketing Specialist/Engineer,Confidential -,15 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Engineering · Marketing · Social Media · social media platforms · Websites · SEO
Account Manager - Digital Marketing,Tavoc Advertising -,8 days ago,"Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · females_only · Customer Service/Support · Marketing/PR/Advertising · Digital · Content · Sales Target · Customer Service · Social Media · sales skills · Digital Marketing · E-Marketing
Junior Digital Marketing - Alexandria,Weblic -,12 days ago,"Sidi Gaber, Alexandria, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · females_only · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Marketing · Online Marketing · Web Marketing · Marketing Online · Online Advertising · Internet Marketing · Growth Hacking
